FID,Province,WeekEnding,TotalCases,WeeklyCases,TotalDeaths,WeeklyDeaths,TotalHospitalized,WeeklyHospitalized,TotalICU,WeeklyICU
1031,AB,2021/04/16 03:59:59+00,167793,9367,2034,27,423,90,93,10
1032,ON,2021/07/23 03:59:59+00,548986,1122,9308,23,137,-22,136,-22
1033,SK,2021/05/28 03:59:59+00,46285,975,536,12,113,-19,26,1
1034,CA,2021/03/12 05:00:00+00,903238,21472,22404,212,1926,-37,530,-3
1035,YT,2021/08/27 03:59:59+00,684,10,8,0,,,,
1036,BC,2021/04/16 03:59:59+00,117080,7540,1530,35,425,93,127,25
1037,PE,2021/07/23 03:59:59+00,208,0,0,0,0,0,0,0
1038,YT,2021/05/28 03:59:59+00,84,0,2,0,,,,
1039,AB,2021/03/19 03:59:59+00,140823,3261,1957,22,276,19,48,10
1040,CA,2021/08/27 03:59:59+00,1486436,20539,26890,101,1046,323,379,96
1041,MB,2021/04/16 03:59:59+00,35815,846,955,6,60,4,17,3
